abbr,name,adjacent,pop_2018
AL,Alabama,FL GA TN MS,4888949
AK,Alaska,,738068
AS,American Samoa,,55312
AZ,Arizona,NM UT NV CA,7123898
AR,Arkansas,LA MS TN MO OK TX,3020327
CA,California,AZ NV OR,39776830
CO,Colorado,NM OK KS NE WY UT,5684203
CT,Connecticut,RI MA NY,3588683
DC,District of Columbia,MD VA,703608
DE,Delaware,NJ PA MD,971180
FL,Florida,GA AL,21312211
GA,Georgia,SC NC TN AL FL,10545138
GU,Guam,,167294
HI,Hawaii,,1426393
ID,Idaho,WA OR NV UT WY MT,1753860
IL,Illinois,WI IA MO KY IN,12768320
IN,Indiana,IL KY OH MI,6699629
IA,Iowa,MN SD NE MO IL WI,3160553
KS,Kansas,OK MO NE CO,2918515
KY,Kentucky,TN VA WV OH IN IL MO,4472265
LA,Louisiana,MS AR TX,4682509
ME,Maine,NH,1341582
MD,Maryland,DC DE PA WV VA,6079602
MA,Massachusetts,NH VT NY CT RI,6895917
MI,Michigan,WI IN OH,9991177
MN,Minnesota,ND SD IA WI,5628162
MS,Mississippi,AL TN AR LA,2982785
MO,Missouri,AR TN KY IL IA NE KS OK,6135888
MP,Northern Mariana Islands,,57215
MT,Montana,ID WY SD ND,1062330
NE,Nebraska,KS MO IA SD WY CO,1932549
NV,Nevada,AZ UT ID OR CA,3056824
NH,New Hampshire,VT MA ME,1350575
NJ,New Jersey,NY PA DE,9032872
NM,New Mexico,TX OK CO AZ,2090707
NY,New York,PA NJ CT MA VT,19862512
NC,North Carolina,VA TN GA SC,10390149
ND,North Dakota,MT SD MN,755238
OH,Ohio,MI IN KY WV PA,11694664
OK,Oklahoma,TX AR MO KS CO NM,3940521
OR,Oregon,CA NV ID WA,4199563
PA,Pennsylvania,OH WV MD DE NJ NY,12823989
PR,Puerto Rico,,3194000
RI,Rhode Island,MA CT,1061712
SC,South Carolina,NC GA,5088916
SD,South Dakota,NE IA MN ND MT WY,877790
TN,Tennessee,AL GA NC VA KY MO AR MS,6782564
TX,Texas,LA AR OK NM,28704330
UT,Utah,AZ CO WY ID NV,3159345
VT,Vermont,NY MA NH,623960
VA,Virginia,DC MD WV KY TN NC,8525660
VI,Virgin Islands,,106630
WA,Washington,OR ID,7530552
WV,West Virginia,VA MD PA OH KY,1803077
WI,Wisconsin,MN IA IL MI,5818049
WY,Wyoming,CO NE SD MT ID UT,573720
